customer_id,first_name,last_name,gender,age_group,signup_date,country
CUST2353,Erica,Oliver,Female,Teenagers,2022-06-29,Canada
CUST4463,Christopher,White,Male,Adults,2023-08-24,China
CUST4512,Spencer,Foster,Male,Senior,2023-07-18,Germany
CUST5711,Jessica,Harris,Male,Teenagers,2025-08-22,France
CUST1296,Amy,Johnson,Female,Teenagers,2021-03-23,Brazil
CUST2790,Shelby,Sutton,Other,Adults,2025-07-18,Canada
CUST2442,Jennifer,Baxter,Female,Senior,2023-11-30,France
CUST2451,Barbara,Hansen,Female,Adults,2024-11-10,UK
CUST2364,Mary,Guzman,Female,Adults,2023-10-30,China
CUST4713,Richard,Bell,Other,Teenagers,2024-11-11,Brazil
CUST1469,Joshua,Graham,Male,Teenagers,2024-07-04,Germany
CUST5953,Audrey,Osborne,Male,Senior,2021-05-26,Japan
CUST1438,Michelle,Vargas,Male,Adults,2023-07-11,UK
CUST2488,Christy,Davis,Female,Adults,2024-12-08,China
CUST1413,Anthony,Best,Female,Senior,2025-07-15,China
CUST2160,Anna,Wyatt,Other,Senior,2023-03-12,USA
CUST3830,Cindy,Day,Female,Senior,2023-11-04,Japan
CUST4174,Daniel,Gray,Other,Adults,2022-11-10,China
CUST3281,Susan,Torres,Other,Senior,2022-07-14,France
CUST3410,Kenneth,Garner,Female,Adults,2022-01-02,Canada
CUST3147,Ronnie,Mcbride,Male,Teenagers,2021-02-24,India
CUST4051,Edward,Molina,Female,Adults,2024-01-29,Australia
CUST1089,Randy,Johnson,Male,Senior,2024-05-10,Canada
CUST2314,Danielle,Jenkins,Other,Senior,2021-03-24,France
CUST5205,Robert,Sanchez,Female,Senior,2022-03-30,Brazil
CUST2997,Amanda,Martinez,Female,Senior,2021-06-02,USA
CUST2945,Vickie,Brown,Other,Teenagers,2023-07-15,Germany
CUST3650,Kelly,Weber,Male,Senior,2022-01-04,France
CUST5755,Todd,Dixon,Male,Senior,2021-11-07,Brazil
CUST2895,Lawrence,Hines,Female,Senior,2021-03-15,USA
CUST3589,Joseph,Frye,Female,Teenagers,2025-07-14,UK
CUST5161,Alison,Curtis,Male,Senior,2023-04-12,France
CUST2370,Kimberly,Stevenson,Female,Senior,2021-04-02,UK
CUST4430,Michael,Thomas,Male,Adults,2024-02-14,India
CUST3021,Mitchell,Rogers,Other,Adults,2024-01-19,Australia
CUST1182,John,Jacobs,Male,Senior,2023-03-09,UK
CUST4791,David,Ford,Female,Adults,2023-11-17,Canada
CUST3310,Christopher,Fernandez,Male,Senior,2024-10-18,France
CUST3661,Edward,Ford,Female,Senior,2022-04-15,Germany
CUST1500,Jill,Smith,Other,Adults,2022-02-15,Brazil
CUST5684,Kyle,Mills,Male,Adults,2023-09-11,Australia
CUST1186,Leroy,Cordova,Male,Senior,2022-01-01,Japan
CUST1241,Derrick,Turner,Male,Teenagers,2021-06-06,UK
CUST4082,Kristi,Jennings,Female,Senior,2023-11-20,Australia
CUST3728,Heather,Butler,Female,Senior,2022-12-12,France
CUST1742,Catherine,Villegas,Other,Adults,2020-11-16,China
CUST3349,Travis,Proctor,Other,Senior,2024-11-02,Brazil
CUST4751,Tyler,Martin,Male,Adults,2020-11-07,USA
CUST2954,Maria,Moore,Female,Teenagers,2024-05-25,China
